depth	min	max	median	mean
395.5	10016	10860	10463	10457
396.5	10025	10868	10471	10465
397.5	10039	10871	10479	10473
398.5	10052	10875	10486	10480
399.5	10065	10878	10494	10488
400.5	10077	10881	10502	10496
401.5	10089	10884	10509	10504
402.5	10101	10888	10517	10512
403.5	10112	10892	10525	10519
404.5	10122	10895	10533	10527
405.5	10133	10899	10542	10535
406.5	10142	10903	10550	10543
407.5	10151	10907	10558	10551
408.5	10160	10911	10566	10559
409.5	10169	10915	10575	10566
410.5	10177	10919	10583	10574
411.5	10184	10924	10591	10582
412.5	10191	10929	10600	10590
413.5	10199	10933	10608	10598
414.5	10205	10939	10617	10605
415.5	10212	10944	10626	10613
416.5	10218	10950	10634	10621
417.5	10224	10956	10643	10629
418.5	10230	10962	10651	10637
419.5	10236	10969	10659	10645
420.5	10241	10976	10668	10652
421.5	10246	10984	10676	10660
422.5	10252	10992	10684	10668
423.5	10257	11001	10692	10676
424.5	10262	11010	10700	10684
425.5	10266	11020	10708	10691
426.5	10278	11027	10716	10699
427.5	10296	11029	10723	10707
428.5	10314	11031	10729	10715
429.5	10333	11033	10736	10723
430.5	10350	11036	10743	10730
431.5	10368	11038	10751	10738
432.5	10385	11041	10758	10746
433.5	10402	11043	10765	10754
434.5	10418	11046	10772	10762
435.5	10434	11049	10779	10769
436.5	10450	11052	10787	10777
437.5	10465	11054	10794	10785
438.5	10479	11057	10802	10793
439.5	10493	11061	10809	10801
440.5	10507	11064	10817	10809
441.5	10520	11067	10825	10816
442.5	10532	11071	10832	10824
443.5	10544	11074	10840	10832
444.5	10555	11078	10849	10840
445.5	10566	11082	10857	10848
446.5	10576	11086	10865	10855
447.5	10585	11091	10873	10863
448.5	10595	11095	10882	10871
449.5	10603	11100	10890	10879
450.5	10611	11106	10898	10887
451.5	10619	11111	10907	10894
452.5	10626	11118	10915	10902
453.5	10633	11124	10923	10910
454.5	10640	11132	10932	10918
455.5	10646	11140	10940	10926
456.5	10656	11146	10947	10933
457.5	10671	11149	10953	10940
458.5	10685	11152	10959	10946
459.5	10699	11155	10965	10953
460.5	10712	11158	10972	10960
461.5	10725	11161	10978	10967
462.5	10738	11165	10984	10973
463.5	10750	11169	10990	10980
464.5	10762	11173	10996	10987
465.5	10774	11177	11002	10994
466.5	10785	11182	11009	11000
467.5	10795	11187	11015	11007
468.5	10806	11193	11021	11014
469.5	10815	11198	11027	11021
470.5	10825	11205	11033	11027
471.5	10833	11211	11040	11034
472.5	10841	11218	11046	11041
473.5	10849	11226	11052	11048
474.5	10857	11234	11058	11054
475.5	10864	11242	11065	11061
476.5	10870	11251	11071	11068
477.5	10876	11260	11077	11075
478.5	10882	11270	11084	11081
479.5	10888	11280	11090	11088
480.5	10893	11290	11096	11095
481.5	10898	11301	11103	11101
482.5	10903	11312	11109	11108
483.5	10907	11324	11115	11115
484.5	10911	11336	11122	11122
485.5	10915	11348	11128	11128
486.5	10923	11357	11135	11135
487.5	10935	11361	11141	11143
488.5	10946	11366	11148	11150
489.5	10957	11371	11155	11158
490.5	10966	11376	11163	11165
491.5	10975	11382	11170	11172
492.5	10984	11388	11177	11180
493.5	10992	11394	11184	11187
494.5	10999	11401	11192	11194
495.5	11006	11409	11199	11202
496.5	11012	11417	11207	11209
497.5	11018	11426	11214	11216
498.5	11024	11434	11221	11224
499.5	11029	11444	11228	11231
500.5	11034	11454	11235	11238
501.5	11039	11464	11243	11246
502.5	11044	11475	11249	11253
503.5	11048	11486	11256	11260
504.5	11053	11498	11263	11268
505.5	11057	11511	11270	11275
506.5	11061	11524	11277	11282
507.5	11065	11538	11284	11290
508.5	11068	11552	11290	11297
509.5	11072	11567	11297	11304
510.5	11075	11582	11304	11312
511.5	11078	11598	11310	11319
512.5	11082	11614	11317	11326
513.5	11085	11630	11323	11334
514.5	11088	11646	11330	11341
515.5	11090	11663	11336	11348
516.5	11097	11673	11343	11356
517.5	11107	11678	11350	11363
518.5	11116	11682	11357	11370
519.5	11125	11687	11365	11377
520.5	11133	11691	11372	11384
521.5	11141	11696	11380	11391
522.5	11148	11701	11388	11398
523.5	11155	11706	11395	11405
524.5	11161	11711	11403	11413
525.5	11168	11717	11411	11420
526.5	11173	11723	11419	11427
527.5	11179	11729	11426	11434
528.5	11184	11735	11434	11441
529.5	11189	11742	11442	11448
530.5	11194	11749	11450	11455
531.5	11199	11756	11457	11462
532.5	11203	11764	11465	11470
533.5	11207	11772	11473	11477
534.5	11211	11781	11480	11484
535.5	11215	11789	11488	11491
536.5	11219	11799	11495	11498
537.5	11223	11809	11503	11505
538.5	11226	11818	11510	11512
539.5	11230	11829	11517	11519
540.5	11233	11840	11525	11527
541.5	11236	11851	11532	11534
542.5	11239	11863	11539	11541
543.5	11242	11875	11546	11548
544.5	11245	11888	11553	11555
545.5	11248	11901	11560	11562
546.5	11256	11909	11566	11569
547.5	11269	11913	11573	11576
548.5	11282	11917	11580	11584
549.5	11294	11921	11587	11591
550.5	11306	11925	11593	11598
551.5	11317	11929	11600	11605
552.5	11328	11934	11607	11612
553.5	11339	11938	11614	11619
554.5	11349	11943	11621	11626
555.5	11358	11948	11628	11633
556.5	11367	11953	11635	11641
557.5	11376	11959	11642	11648
558.5	11385	11964	11649	11655
559.5	11392	11970	11656	11662
560.5	11400	11976	11664	11669
561.5	11407	11982	11671	11676
562.5	11414	11988	11678	11683
563.5	11421	11995	11685	11690
564.5	11427	12002	11693	11697
565.5	11433	12010	11700	11705
566.5	11438	12017	11707	11712
567.5	11444	12025	11715	11719
568.5	11449	12033	11722	11726
569.5	11454	12042	11729	11733
570.5	11459	12050	11737	11740
571.5	11463	12059	11744	11747
572.5	11468	12069	11751	11754
573.5	11472	12079	11758	11761
574.5	11476	12089	11766	11769
575.5	11481	12100	11773	11776
576.5	11487	12109	11780	11783
577.5	11496	12116	11787	11791
578.5	11503	12124	11795	11798
579.5	11510	12132	11802	11806
580.5	11518	12141	11810	11813
581.5	11524	12151	11817	11821
582.5	11531	12161	11824	11828
583.5	11537	12171	11831	11836
584.5	11543	12182	11839	11843
585.5	11548	12194	11846	11851
586.5	11553	12207	11853	11858
587.5	11558	12221	11859	11866
