"age","sat","sat_sd","sat_upr","sat_lwr","cell_lon","cell_lat","dist_km"
14500,-5.43825626373291,1.90435457229614,-1.62954711914062,-9.2469654083252,357.5,59.684211730957,94.8507566371056
14700,-6.6251630783081,1.86974501609802,-2.88567304611206,-10.3646531105042,357.5,59.684211730957,94.8507566371056
14900,-7.4004693031311,2.0477409362793,-3.30498743057251,-11.4959511756897,357.5,59.684211730957,94.8507566371056
15100,-8.13969993591309,2.10534739494324,-3.92900514602661,-12.3503947257996,357.5,59.684211730957,94.8507566371056
15300,-8.66178226470947,2.23047280311584,-4.20083665847778,-13.1227278709412,357.5,59.684211730957,94.8507566371056
15500,-9.01272201538086,2.51129531860352,-3.99013137817383,-14.0353126525879,357.5,59.684211730957,94.8507566371056
15700,-9.44723320007324,2.49738955497742,-4.45245409011841,-14.4420123100281,357.5,59.684211730957,94.8507566371056
15900,-10.6155462265015,2.54117584228516,-5.53319454193115,-15.6978979110718,357.5,59.684211730957,94.8507566371056
16100,-10.9364528656006,2.54154944419861,-5.85335397720337,-16.0195517539978,357.5,59.684211730957,94.8507566371056
16300,-11.650032043457,2.8325924873352,-5.98484706878662,-17.3152170181274,357.5,59.684211730957,94.8507566371056
16500,-12.5485897064209,2.80452394485474,-6.93954181671143,-18.1576375961304,357.5,59.684211730957,94.8507566371056
16700,-13.5825824737549,3.009028673172,-7.56452512741089,-19.6006398200989,357.5,59.684211730957,94.8507566371056
16900,-14.1683664321899,3.0127866268158,-8.14279317855835,-20.1939396858215,357.5,59.684211730957,94.8507566371056
17100,-14.255895614624,3.28258442878723,-7.69072675704956,-20.8210644721985,357.5,59.684211730957,94.8507566371056
17300,-14.1873807907104,3.12278532981873,-7.941810131073,-20.4329514503479,357.5,59.684211730957,94.8507566371056
17500,-13.5617952346802,2.99429821968079,-7.5731987953186,-19.5503916740417,357.5,59.684211730957,94.8507566371056
17700,-12.6699056625366,2.9632134437561,-6.74347877502441,-18.5963325500488,357.5,59.684211730957,94.8507566371056
17900,-12.0807123184204,2.80485343933105,-6.4710054397583,-17.6904191970825,357.5,59.684211730957,94.8507566371056
18100,-11.6992521286011,2.62892389297485,-6.44140434265137,-16.9570999145508,357.5,59.684211730957,94.8507566371056
18300,-10.8518152236938,2.77844786643982,-5.29491949081421,-16.4087109565735,357.5,59.684211730957,94.8507566371056
18500,-10.9931774139404,2.56408762931824,-5.86500215530396,-16.1213526725769,357.5,59.684211730957,94.8507566371056
18700,-10.76988697052,2.47975420951843,-5.81037855148315,-15.7293953895569,357.5,59.684211730957,94.8507566371056
18900,-10.3751764297485,2.54895520210266,-5.27726602554321,-15.4730868339539,357.5,59.684211730957,94.8507566371056
19100,-10.6422138214111,2.53737926483154,-5.56745529174805,-15.7169723510742,357.5,59.684211730957,94.8507566371056
19300,-10.7111530303955,2.49192547798157,-5.72730207443237,-15.6950039863586,357.5,59.684211730957,94.8507566371056
19500,-10.9637298583984,2.51323914527893,-5.93725156784058,-15.9902081489563,357.5,59.684211730957,94.8507566371056
19700,-11.2772874832153,2.5610842704773,-6.15511894226074,-16.3994560241699,357.5,59.684211730957,94.8507566371056
19900,-11.4413757324219,2.65137386322021,-6.13862800598145,-16.7441234588623,357.5,59.684211730957,94.8507566371056
