"","tax_name","ExrNTC_S49","LibNTC_S51","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"500","Sacculina",0,0,0,0,0,0,0,0,0,0,0,0,74,0,50,107,0,0,0,0,0,0,0,0,0,0,50,0,54,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501","Salarias",0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"502","Salmo",0,0,151,79,145,110,132,93,82,140,121,149,379,63,180,0,116,81,85,59,67,207,105,80,0,178,184,0,238,547,80,74,70,82,93,97,61,94,0,0,0,68,140,0,125,0
"503","Salvelinus",0,0,141,64,142,90,75,65,66,91,145,152,0,74,118,0,140,98,125,79,88,231,116,86,52,219,192,0,0,0,115,89,98,115,109,91,61,70,0,0,59,88,216,0,140,0
"504","Sarcophilus",0,0,0,0,63,0,0,0,0,51,59,56,0,0,92,0,0,0,0,0,0,59,56,0,0,54,89,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,78,0,0,0
"505","Scaeva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0
"506","Schistocerca",0,0,318,0,0,0,0,0,0,174,241,308,731,0,411,922,133,0,0,0,215,328,266,147,59,259,437,80,578,1441,0,194,240,0,0,363,0,180,0,112,0,0,323,0,172,51
"507","Schistosoma",0,0,0,0,415,0,0,0,0,0,0,50,197,0,68,153,0,0,0,0,0,133,0,0,0,0,89,0,87,182,51,0,0,0,69,67,0,0,0,0,0,0,69,0,0,0
"508","Sciurus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"509","Scleropages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"510","Scomber",0,0,0,76,91,60,134,67,104,78,317,269,66,150,118,0,0,0,0,0,59,127,363,71,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"511","Scophthalmus",0,0,0,0,0,0,104,0,0,0,0,0,64,0,52,0,0,0,0,0,0,0,0,0,0,0,65,0,51,68,0,0,0,0,0,0,0,0,0,0,0,94,65,0,0,0
"512","Scrobipalpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"513","Scyliorhinus",0,0,60,0,64,0,188,58,62,60,57,66,129,65,0,0,0,0,0,0,135,0,88,0,0,97,0,0,0,64,54,0,0,0,0,0,62,0,0,0,0,0,58,0,0,0
"514","Sebastes",0,0,0,0,58,0,0,0,57,0,78,126,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"515","Seladonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"516","Sesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"517","Sicus",0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,116,0,0,0,0,0,0,0,0,0,51,67,0,55,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"518","Silurus",0,0,54,0,70,56,0,0,0,0,75,60,195,0,120,300,66,0,0,0,0,69,54,0,0,67,86,0,175,226,0,0,0,0,0,0,0,0,0,0,0,0,91,0,52,0
"519","Sinocyclocheilus",0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
"520","Siphlonurus",0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"521","Sitophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"522","Solea",0,0,0,0,0,0,0,0,0,0,0,0,95,0,60,126,0,0,0,0,0,0,0,0,0,0,57,0,86,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"523","Solenopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"524","Somateria",0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"525","Sorex",0,0,91,0,114,0,0,0,0,0,103,106,0,68,191,0,73,0,0,0,0,96,83,60,0,99,180,0,0,0,63,0,77,0,0,0,0,59,0,50,0,0,114,0,53,0
"526","Sparus",0,0,0,0,0,0,0,0,0,0,0,0,68,0,52,0,0,0,0,0,0,0,166,0,0,0,60,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"527","Sphaeramia",0,0,0,0,50,0,0,0,0,0,0,53,158,0,81,0,0,0,0,0,0,61,0,0,0,0,90,0,135,243,53,0,0,0,0,77,0,0,0,0,0,0,57,0,0,0
"528","Sphaerodactylus",0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,52,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"529","Sphecodes",0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,100,0,0,0,0,0,0,0,0,0,0,51,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530","Spirometra",0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"531","Spisula",0,0,0,0,58,0,83,51,72,75,113,158,278,69,114,195,0,0,0,66,92,97,101,73,0,121,183,0,216,233,0,0,0,0,0,53,62,0,0,59,0,0,169,0,0,0
"532","Spodoptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"533","Spongilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"534","Squalius",0,0,0,0,0,0,0,0,0,0,0,0,88,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,75,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
