"","tax_name","ExrNTC_S49","WP2-001_S1","WP2-002_S2","WP2-003_S3","WP2-004_S4","WP2-005_S5","WP2-006_S6","WP2-007_S7","WP2-008_S8","WP2-009_S9","WP2-010_S10","WP2-011_S11","WP2-012_S12","WP2-013_S13","WP2-014_S14","WP2-016_S16","WP2-017_S17","WP2-018_S18","WP2-019_S19","WP2-020_S20","WP2-021_S21","WP2-022_S22","WP2-023_S23","WP2-024_S24","WP2-025_S25","WP2-026_S26","WP2-027_S48","WP2-029_S29","WP2-030_S30","WP2-031_S31","WP2-032_S32","WP2-033_S33","WP2-034_S34","WP2-035_S35","WP2-036_S36","WP2-037_S37","WP2-038_S38","WP2-039_S39","WP2-040_S40","WP2-041_S41","WP2-042_S42","WP2-043_S43","WP2-044_S44","WP2-045_S45","WP2-046_S46"
"40","Bistorta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA
"41","Botrychium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Botrypus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Brassica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,50,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,66,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Braya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,54,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Bromus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,81,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Calamagrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,65,NA,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
"47","Callitriche",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Calluna",NA,3378,2465,5209,4669,17701,10711,2028,2232,6943,30587,6922,NA,174,NA,NA,243,2388,2750,1267,81971,284,770,698,87,222,NA,NA,NA,365,571,818,2574,2985,1053,505,313,302,861,99,NA,162,105,NA,NA
"49","Caltha",NA,71,NA,NA,NA,NA,NA,NA,NA,261,565,98,126,3777,NA,227,NA,NA,NA,NA,950,NA,NA,NA,63,228,NA,102,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Calystegia",NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Camellia",NA,NA,NA,NA,NA,NA,NA,NA,NA,52,91,128,NA,102,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,65,NA,NA,88,NA,98,52,55,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA
